wavelength,Intensity,Uncertainty
4723.84,1.58E-14,2.19E-16
4726.59,1.54E-14,2.16E-16
4729.34,1.53E-14,2.16E-16
4732.09,1.55E-14,2.17E-16
4734.84,1.55E-14,2.18E-16
4737.59,1.58E-14,2.20E-16
4740.34,1.61E-14,2.21E-16
4743.09,1.61E-14,2.22E-16
4745.84,1.60E-14,2.22E-16
4748.59,1.59E-14,2.21E-16
4751.34,1.56E-14,2.18E-16
4754.09,1.56E-14,2.18E-16
4756.84,1.58E-14,2.20E-16
4759.59,1.58E-14,2.20E-16
4762.34,1.57E-14,2.19E-16
4765.09,1.57E-14,2.19E-16
4767.84,1.55E-14,2.18E-16
4770.59,1.51E-14,2.15E-16
4773.34,1.47E-14,2.12E-16
4776.09,1.43E-14,2.09E-16
4778.84,1.42E-14,2.07E-16
4781.59,1.40E-14,2.05E-16
4784.34,1.37E-14,2.02E-16
4787.09,1.37E-14,2.03E-16
4789.84,1.37E-14,2.02E-16
4792.59,1.38E-14,2.02E-16
4795.34,1.40E-14,2.04E-16
4798.09,1.41E-14,2.04E-16
4800.84,1.40E-14,2.02E-16
4803.59,1.37E-14,1.99E-16
4806.34,1.35E-14,1.98E-16
4809.09,1.34E-14,1.97E-16
4811.84,1.36E-14,1.98E-16
4814.59,1.40E-14,2.01E-16
4817.34,1.41E-14,2.01E-16
4820.09,1.38E-14,1.99E-16
4822.84,1.37E-14,1.98E-16
4825.59,1.37E-14,1.97E-16
4828.34,1.37E-14,1.97E-16
4831.09,1.38E-14,1.97E-16
4833.84,1.38E-14,1.97E-16
4836.59,1.39E-14,1.97E-16
4839.34,1.40E-14,1.98E-16
4842.09,1.43E-14,2.00E-16
4844.84,1.43E-14,1.99E-16
4847.59,1.43E-14,1.99E-16
4850.34,1.45E-14,2.00E-16
4853.09,1.47E-14,2.01E-16
4855.84,1.54E-14,2.06E-16
4858.59,1.61E-14,2.11E-16
4861.34,1.75E-14,2.20E-16
4864.09,1.96E-14,2.32E-16
4866.84,2.20E-14,2.45E-16
4869.59,2.45E-14,2.59E-16
4872.34,2.74E-14,2.74E-16
4875.09,2.95E-14,2.84E-16
4877.84,3.11E-14,2.92E-16
4880.59,3.07E-14,2.90E-16
4883.34,3.03E-14,2.88E-16
4886.09,2.94E-14,2.84E-16
4888.84,2.81E-14,2.79E-16
4891.59,2.43E-14,2.58E-16
4894.34,2.13E-14,2.41E-16
4897.09,1.89E-14,2.27E-16
4899.84,1.74E-14,2.18E-16
4902.59,1.60E-14,2.09E-16
4905.34,1.52E-14,2.03E-16
4908.09,1.47E-14,2.00E-16
4910.84,1.48E-14,2.00E-16
4913.59,1.45E-14,1.99E-16
4916.34,1.44E-14,1.98E-16
4919.09,1.44E-14,1.98E-16
4921.84,1.47E-14,2.01E-16
4924.59,1.45E-14,1.99E-16
4927.34,1.43E-14,1.98E-16
4930.09,1.42E-14,1.97E-16
4932.84,1.44E-14,1.98E-16
4935.59,1.47E-14,2.00E-16
4938.34,1.46E-14,1.99E-16
4941.09,1.48E-14,2.01E-16
4943.84,1.56E-14,2.07E-16
4946.59,1.65E-14,2.12E-16
4949.34,1.83E-14,2.24E-16
4952.09,2.07E-14,2.38E-16
4954.84,2.36E-14,2.55E-16
4957.59,2.78E-14,2.76E-16
4960.34,3.52E-14,3.11E-16
4963.09,4.53E-14,3.55E-16
4965.84,5.83E-14,4.04E-16
4968.59,7.18E-14,4.52E-16
4971.34,8.46E-14,4.96E-16
4974.09,9.46E-14,5.28E-16
4976.84,9.61E-14,5.33E-16
4979.59,9.11E-14,5.19E-16
4982.34,8.05E-14,4.84E-16
